model,title,pde_class,mod_type,question_type,candidate,letters,correct_letter,logprob_A,logprob_B,logprob_C,logprob_D,predicted_letter,correct,logprob_correct,margin,entropy,finish_reason
meta-llama/Llama-3.1-8B-Instruct,Wave_Comm_Valid_1,wave,Comm_Valid,pde_class,,"{""A"": ""wave"", ""B"": ""heat"", ""C"": ""navier-stokes"", ""D"": ""burgers""}",A,-1.257333517074585,-0.8823334574699402,-3.007333517074585,-1.382333517074585,B,False,-1.257333517074585,-0.3750000596046448,1.2186086029208405,length
meta-llama/Llama-3.1-8B-Instruct,Wave_Comm_Valid_1,wave,Comm_Valid,phys_process,advection,"{""A"": ""No"", ""B"": ""Yes""}",A,-1.914557695388794,-0.1645577400922775,-6.039557933807373,-10.164557456970217,B,False,-1.914557695388794,-1.7499999552965164,0.4193067568587714,length
meta-llama/Llama-3.1-8B-Instruct,Wave_Comm_Valid_1,wave,Comm_Valid,phys_process,diffusion,"{""A"": ""Yes"", ""B"": ""No""}",B,-0.1441938281059265,-2.0191938877105713,-6.769193649291992,-10.144193649291992,A,False,-2.0191938877105713,-1.8750000596046448,0.3919829950904564,length
meta-llama/Llama-3.1-8B-Instruct,Wave_Comm_Valid_1,wave,Comm_Valid,phys_process,oscillation,"{""A"": ""No"", ""B"": ""Yes""}",B,-0.7612602114677429,-0.6362602114677429,-6.261260032653809,-9.886260032653809,B,True,-0.6362602114677429,0.125,0.6911978636434496,length
meta-llama/Llama-3.1-8B-Instruct,Wave_Comm_Valid_1,wave,Comm_Valid,phys_process,restoration,"{""A"": ""No"", ""B"": ""Yes""}",B,-0.2843648791313171,-1.409364938735962,-7.784364700317383,-11.909364700317385,A,False,-1.409364938735962,-1.1250000596046448,0.5568707636137857,length
meta-llama/Llama-3.1-8B-Instruct,Wave_Comm_Valid_1,wave,Comm_Valid,num_method,explicit,"{""A"": ""No"", ""B"": ""Yes""}",B,-2.1290032863616943,-0.1290031969547271,-6.629003047943115,-10.754003524780272,B,True,-0.1290031969547271,2.000000089406967,0.3653338363108916,length
meta-llama/Llama-3.1-8B-Instruct,Wave_Comm_Valid_1,wave,Comm_Valid,num_method,implicit,"{""A"": ""Yes"", ""B"": ""No""}",B,-0.252909392118454,-1.5029094219207764,-7.002909183502197,-10.502909660339355,A,False,-1.5029094219207764,-1.2500000298023224,0.5303042484263532,length
meta-llama/Llama-3.1-8B-Instruct,Wave_Comm_Valid_1,wave,Comm_Valid,num_method,spectral,"{""A"": ""Yes"", ""B"": ""No""}",B,-1.8066993951797483,-0.1816994249820709,-6.306699275970459,-10.556699752807615,B,True,-0.1816994249820709,1.6249999701976776,0.4470838942471477,length
meta-llama/Llama-3.1-8B-Instruct,Wave_Comm_Valid_1,wave,Comm_Valid,phys_valid,valid,"{""A"": ""No"", ""B"": ""Yes""}",B,-0.8286489248275757,-0.5786489248275757,-6.328649044036865,-10.328648567199709,B,True,-0.5786489248275757,0.25,0.6853952946553941,length
meta-llama/Llama-3.1-8B-Instruct,Wave_Comm_Valid_2,wave,Comm_Valid,pde_class,,"{""A"": ""burgers"", ""B"": ""wave"", ""C"": ""heat"", ""D"": ""navier-stokes""}",B,-2.1334218978881836,-2.3834218978881836,-0.2584218382835388,-4.133421897888184,C,False,-2.3834218978881836,-2.1250000596046448,0.7380479763873269,length
meta-llama/Llama-3.1-8B-Instruct,Wave_Comm_Valid_2,wave,Comm_Valid,phys_process,advection,"{""A"": ""Yes"", ""B"": ""No""}",B,-0.1282884329557418,-2.128288507461548,-7.003288269042969,-11.503288269042969,A,False,-2.128288507461548,-2.000000074505806,0.3653338394399444,length
meta-llama/Llama-3.1-8B-Instruct,Wave_Comm_Valid_2,wave,Comm_Valid,phys_process,diffusion,"{""A"": ""Yes"", ""B"": ""No""}",B,-0.2271812558174133,-1.6021811962127686,-6.727181434631348,-10.727181434631348,A,False,-1.6021811962127686,-1.3749999403953552,0.5029058454095843,length
meta-llama/Llama-3.1-8B-Instruct,Wave_Comm_Valid_2,wave,Comm_Valid,phys_process,oscillation,"{""A"": ""No"", ""B"": ""Yes""}",B,-0.9782252311706544,-0.4782252311706543,-6.228225231170654,-10.353225708007812,B,True,-0.4782252311706543,0.5,0.6628473185771795,length
meta-llama/Llama-3.1-8B-Instruct,Wave_Comm_Valid_2,wave,Comm_Valid,phys_process,restoration,"{""A"": ""No"", ""B"": ""Yes""}",B,-0.2840983271598816,-1.4090983867645264,-7.909098148345947,,A,False,-1.4090983867645264,-1.1250000596046448,0.5568707636137857,length
meta-llama/Llama-3.1-8B-Instruct,Wave_Comm_Valid_2,wave,Comm_Valid,num_method,explicit,"{""A"": ""No"", ""B"": ""Yes""}",B,-3.2913260459899902,-0.0413260571658611,-6.66632604598999,-10.791326522827148,B,True,-0.0413260571658611,3.249999988824129,0.1593537568593686,length
meta-llama/Llama-3.1-8B-Instruct,Wave_Comm_Valid_2,wave,Comm_Valid,num_method,implicit,"{""A"": ""Yes"", ""B"": ""No""}",B,-0.1009857654571533,-2.3509857654571533,-7.350985527038574,-11.100985527038574,A,False,-2.3509857654571533,-2.25,0.3147428549377435,length
meta-llama/Llama-3.1-8B-Instruct,Wave_Comm_Valid_2,wave,Comm_Valid,num_method,spectral,"{""A"": ""No"", ""B"": ""Yes""}",A,-0.2263479083776474,-1.6013479232788086,-7.351347923278809,-11.726347923278809,A,True,-0.2263479083776474,1.3750000149011612,0.5029058289071899,length
meta-llama/Llama-3.1-8B-Instruct,Wave_Comm_Valid_2,wave,Comm_Valid,phys_valid,valid,"{""A"": ""Yes"", ""B"": ""No""}",A,-2.2448549270629883,-0.1198548153042793,-5.119854927062988,-8.619854927062988,B,False,-2.2448549270629883,-2.125000111758709,0.3395397682697116,length
meta-llama/Llama-3.1-8B-Instruct,Wave_Comm_Valid_3,wave,Comm_Valid,pde_class,,"{""A"": ""navier-stokes"", ""B"": ""wave"", ""C"": ""heat"", ""D"": ""burgers""}",B,-4.056621074676514,-0.0566211715340614,-3.5566210746765137,-4.806621074676514,B,True,-0.0566211715340614,3.499999903142452,0.2637406563812365,length
meta-llama/Llama-3.1-8B-Instruct,Wave_Comm_Valid_3,wave,Comm_Valid,phys_process,advection,"{""A"": ""No"", ""B"": ""Yes""}",A,-1.057759404182434,-0.4327594339847564,-6.8077592849731445,-11.557759284973145,B,False,-1.057759404182434,-0.6249999701976776,0.6466038920881473,length
meta-llama/Llama-3.1-8B-Instruct,Wave_Comm_Valid_3,wave,Comm_Valid,phys_process,diffusion,"{""A"": ""No"", ""B"": ""Yes""}",A,-2.242702007293701,-0.1177020743489265,-6.367702007293701,-10.74270248413086,B,False,-2.242702007293701,-2.124999932944774,0.3395398044846983,length
meta-llama/Llama-3.1-8B-Instruct,Wave_Comm_Valid_3,wave,Comm_Valid,phys_process,oscillation,"{""A"": ""No"", ""B"": ""Yes""}",B,-2.937009334564209,-0.0620094053447246,-6.562009334564209,-10.687009811401367,B,True,-0.0620094053447246,2.8749999292194843,0.2084167626174817,length
meta-llama/Llama-3.1-8B-Instruct,Wave_Comm_Valid_3,wave,Comm_Valid,phys_process,restoration,"{""A"": ""No"", ""B"": ""Yes""}",B,-0.2564012408256531,-1.506401300430298,-7.756401062011719,-12.63140106201172,A,False,-1.506401300430298,-1.2500000596046448,0.5303042419776972,length
meta-llama/Llama-3.1-8B-Instruct,Wave_Comm_Valid_3,wave,Comm_Valid,num_method,explicit,"{""A"": ""Yes"", ""B"": ""No""}",A,-0.9000040292739868,-0.5250040292739868,-6.650003910064697,-11.150004386901855,B,False,-0.9000040292739868,-0.375,0.6758732891550641,length
meta-llama/Llama-3.1-8B-Instruct,Wave_Comm_Valid_3,wave,Comm_Valid,num_method,implicit,"{""A"": ""No"", ""B"": ""Yes""}",B,-1.316367745399475,-0.3163677752017975,-6.9413676261901855,-11.316368103027344,B,True,-0.3163677752017975,0.9999999701976776,0.5822031147457103,length
meta-llama/Llama-3.1-8B-Instruct,Wave_Comm_Valid_3,wave,Comm_Valid,num_method,spectral,"{""A"": ""Yes"", ""B"": ""No""}",B,-1.056169033050537,-0.4311690628528595,-6.181169033050537,-10.806169509887695,B,True,-0.4311690628528595,0.6249999701976776,0.6466038920881473,length
meta-llama/Llama-3.1-8B-Instruct,Wave_Comm_Valid_3,wave,Comm_Valid,phys_valid,valid,"{""A"": ""No"", ""B"": ""Yes""}",B,-0.901589334011078,-0.5265893340110779,-6.401589393615723,-10.901589393615724,B,True,-0.5265893340110779,0.375,0.6758732891550641,length
meta-llama/Llama-3.1-8B-Instruct,Wave_Comm_Valid_4,wave,Comm_Valid,pde_class,,"{""A"": ""heat"", ""B"": ""wave"", ""C"": ""navier-stokes"", ""D"": ""burgers""}",B,-7.002386569976807,-0.0023865809198468,-6.627386569976807,-9.002387046813965,B,True,-0.0023865809198468,6.62499998905696,0.0186046960602672,length
meta-llama/Llama-3.1-8B-Instruct,Wave_Comm_Valid_4,wave,Comm_Valid,phys_process,advection,"{""A"": ""Yes"", ""B"": ""No""}",B,-0.827092170715332,-0.577092170715332,-7.202092170715332,-12.327092170715332,B,True,-0.577092170715332,0.25,0.6853952946553941,length
