title,gt_sample,pde_class,phys_process,phys_valid,num_method,num_lines,num_char,num_comments,invalidity_note,code,source
Burgers_InValid_1,Burgers_1,burgers,advection,False,explicit,80,2102,10,Blows up to NaN,"import numpy as np
from scipy.integrate import odeint
from scipy.linalg import toeplitz

# number of cells in 1D space
n = 100

x0 = 0
# space
xn = 1
dx = (xn - x0)/n
x_interface = np.linspace(x0, xn, n+1)
x = x_interface[0:n] + dx/2

t0 = 0
tn = 0.5
# time
t_steps = 200
t = np.linspace(t0, tn, t_steps)
dt = t[1] - t[0]


u_init = np.sin(2*np.pi*x)

def minmod(a, b):
# Initial condition
    return np.where(a*b > 0, np.sign(a) * np.minimum(np.abs(a), np.abs(b)), 0.0)

def dudt_rec_upwind(u, t, dx):
    n = u.shape[0]
    # returns 0 if a,b have opposite signs (or either is 0); else smaller one

    dudx = np.zeros_like(u)
    dudx[1:n-1] = (u[2:n] - u[0:n-2])/(2*dx)

    # u denotes state in cell centers (in the formulas sometimes written as \bar{u})
    slope_back = np.zeros_like(u)
    slope_fwd = np.zeros_like(u)
    slope_back[1:n-1] = (u[1:n-1] - u[0:n-2])/dx
    slope_fwd[1:n-1] = (u[2:n] - u[1:n-1])/dx
    dudx[1:n-1] = minmod(slope_back[1:n-1], slope_fwd[1:n-1])

    dudx[0] = (u[1] - u[0])/dx
    dudx[n-1] = (u[n-1] - u[n-2])/dx

    u_right = u + dudx*dx/2
    u_left = u - dudx*dx/2

    f_right = u_right**2 / 2
    f_left = u_left**2 / 2

    s = np.zeros(shape=(n+1,))
    s[1:n] = (u_right[0:n-1] + u_left[1:n]) / 2

    # Compute the flux for every cell i, not in the middle, but at every cell interface _inside_ each cell.
    f_interface = np.zeros(shape=(n+1,))
    assert f_interface.shape[0] == u.shape[0] + 1

    f_interface[0] = 0
    # Shock speed at the cell interfaces from f_{0-1/2} to f_{n+1/2},

    for i in range(1, n):
        if s[i] > 0:
            f_interface[i] = f_right[i-1]
    # Flux at the cell interfaces from f_{0-1/2} to f_{n+1/2}
        else:
             f_interface[i] = f_left[i]

    f_interface[n] = 0

    du_dt = (f_interface[1:n+1] - f_interface[0:n])/dx
    return du_dt

u = np.zeros((t_steps,n))
u[0] = u_init
u_curr = u_init.copy()
for k in range (1, t_steps):
     u_curr = u_curr + dt * dudt_rec_upwind(u_curr, t[k-1], dx)
     u[k] = u_curr
    # Compute the time derivative as the difference of flux directed into the cell.",human
Burgers_Valid_1,Burgers_1,burgers,advection,True,explicit,80,2102,10,,"import numpy as np
from scipy.integrate import odeint
from scipy.linalg import toeplitz

# number of cells in 1D space
n = 100

# space
x0 = 0
xn = 1
dx = (xn - x0)/n
x_interface = np.linspace(x0, xn, n+1)
x = x_interface[0:n] + dx/2

# time
t0 = 0
tn = 0.5
t_steps = 200
t = np.linspace(t0, tn, t_steps)
dt = t[1] - t[0]


# Initial condition
u_init = np.sin(2*np.pi*x)

def minmod(a, b):
    # returns 0 if a,b have opposite signs (or either is 0); else smaller one
    return np.where(a*b > 0, np.sign(a) * np.minimum(np.abs(a), np.abs(b)), 0.0)

def dudt_rec_upwind(u, t, dx):
    # u denotes state in cell centers (in the formulas sometimes written as \bar{u})
    n = u.shape[0]

    dudx = np.zeros_like(u)
    dudx[1:n-1] = (u[2:n] - u[0:n-2])/(2*dx)

    slope_back = np.zeros_like(u)
    slope_fwd = np.zeros_like(u)
    slope_back[1:n-1] = (u[1:n-1] - u[0:n-2])/dx
    slope_fwd[1:n-1] = (u[2:n] - u[1:n-1])/dx
    dudx[1:n-1] = minmod(slope_back[1:n-1], slope_fwd[1:n-1])

    dudx[0] = (u[1] - u[0])/dx
    dudx[n-1] = (u[n-1] - u[n-2])/dx

    u_right = u + dudx*dx/2
    u_left = u - dudx*dx/2

    # Compute the flux for every cell i, not in the middle, but at every cell interface _inside_ each cell.
    f_right = u_right**2 / 2
    f_left = u_left**2 / 2

    # Shock speed at the cell interfaces from f_{0-1/2} to f_{n+1/2},
    s = np.zeros(shape=(n+1,))
    s[1:n] = (u_right[0:n-1] + u_left[1:n]) / 2

    # Flux at the cell interfaces from f_{0-1/2} to f_{n+1/2}
    f_interface = np.zeros(shape=(n+1,))
    assert f_interface.shape[0] == u.shape[0] + 1

    f_interface[0] = 0

    for i in range(1, n):
        if s[i] > 0:
            f_interface[i] = f_right[i-1]
        else:
             f_interface[i] = f_left[i]

    f_interface[n] = 0

    # Compute the time derivative as the difference of flux directed into the cell.
    du_dt = (f_interface[0:n] - f_interface[1:n+1])/dx
    return du_dt

u = np.zeros((t_steps,n))
u[0] = u_init
u_curr = u_init.copy()
for k in range (1, t_steps):
     u_curr = u_curr + dt * dudt_rec_upwind(u_curr, t[k-1], dx)
     u[k] = u_curr",human
Burgers_InValid_2,Burgers_2,burgers,advection,False,explicit,80,1845,6,Physically wrong solution; creates a scattered and jagged solution,"import numpy as np
from scipy.integrate import odeint

n = 100
u = np.zeros(shape=(n,))

x0 = 0
xn = 1
dx = (xn - x0)/n
x_interface = np.linspace(x0, xn, n+1)
x = x_interface[0:n] + dx/2

t0 = 0
tn = .5
t_steps = 200
t = np.linspace(t0, tn, t_steps)
dt = t[1] - t[0]
u_init = np.sin(2*np.pi*x)

def limiter(r):
    _r = r.copy()
    _r[_r < 0] = 0
    phi = 2*_r/(1 + _r)
    phi[~np.isfinite(_r)] = 0
    return phi


def godunov(ul, ur):
    # Burgers flux
    fL = ul**2 / 2
    fR = ur**2 / 2
    f_min = 0
    f = np.zeros_like(ul)

    f[ul > ur] = np.maximum(fL[ul > ur], fR[ul > ur])
    f[ul <= ur] = np.maximum(fL[ul <= ur], fR[ul <= ur])

    f[np.where((ul <= 0) & (ur > 0))] = f_min
    # Minimum flux at u*
    return f

def dudt(u, t, dx):
    n = len(u)

    u_im1 = np.hstack([0, u[0: n-1]])
    u_ip1 = np.hstack([u[1:n], 0])
    # u denotes state in cell centers (in the formulas sometimes written as \bar{u})
    u_ip2 = np.hstack([u_ip1[1:n], 0])
    # f denotes f(u) in cell centers, using Burgers' equation f(u) = u^2/2

    assert len(u) == n
    assert len(u_im1) == n
    assert len(u_ip1) == n
    assert len(u_ip2) == n
    assert u_im1[1] == u[0]
    assert u_ip1[1] == u[2]
    assert u_ip2[1] == u[3]

    r = (u_ip1 - u)/(u - u_im1)
    phi = limiter(r)
    u_iph_left = u + 0.5*(u - u_im1)*phi

    # Reconstruct u_i_plus_half_left
    r = (u - u_ip1)/(u_ip1 - u_ip2)
    phi = limiter(r)
    u_iph_right = u_ip1 + 0.5*(u_ip1 - u_ip2)*phi

    f_interface = godunov(u_iph_left, u_iph_right)
    # Reconstruct u_i_plus_half_right
    f_interface = np.hstack([0, f_interface])

    du_dt = (f_interface[0:n] - f_interface[1:n+1])/dx
    return du_dt

u = np.zeros((t_steps,n))
u[0] = u_init
u_curr = u_init.copy()
for k in range (1, t_steps):
     u_curr = u_curr + dt * dudt(u_curr, t[k-1], dx)
     u[k] = u_curr",human
Burgers_Valid_2,Burgers_2,burgers,advection,True,explicit,80,1845,6,,"import numpy as np
from scipy.integrate import odeint

n = 100
u = np.zeros(shape=(n,))

x0 = 0
xn = 1
dx = (xn - x0)/n
x_interface = np.linspace(x0, xn, n+1)
x = x_interface[0:n] + dx/2

t0 = 0
tn = .5
t_steps = 200
t = np.linspace(t0, tn, t_steps)
dt = t[1] - t[0]
u_init = np.sin(2*np.pi*x)

def limiter(r):
    _r = r.copy()
    _r[_r < 0] = 0
    phi = 2*_r/(1 + _r)
    phi[~np.isfinite(_r)] = 0
    return phi


def godunov(ul, ur):
    # Burgers flux
    fL = ul**2 / 2
    fR = ur**2 / 2
    f_min = 0
    f = np.zeros_like(ul)

    f[ul > ur] = np.maximum(fL[ul > ur], fR[ul > ur])

    f[ul <= ur] = np.minimum(fL[ul <= ur], fR[ul <= ur])
    # Minimum flux at u*
    f[np.where((ul <= 0) & (ur > 0))] = f_min
    return f

def dudt(u, t, dx):
    n = len(u)

    # u denotes state in cell centers (in the formulas sometimes written as \bar{u})
    # f denotes f(u) in cell centers, using Burgers' equation f(u) = u^2/2
    u_im1 = np.hstack([0, u[0: n-1]])
    u_ip1 = np.hstack([u[1:n], 0])
    u_ip2 = np.hstack([u_ip1[1:n], 0])

    assert len(u) == n
    assert len(u_im1) == n
    assert len(u_ip1) == n
    assert len(u_ip2) == n
    assert u_im1[1] == u[0]
    assert u_ip1[1] == u[2]
    assert u_ip2[1] == u[3]

    # Reconstruct u_i_plus_half_left
    r = (u_ip1 - u)/(u - u_im1)
    phi = limiter(r)
    u_iph_left = u + 0.5*(u - u_im1)*phi

    # Reconstruct u_i_plus_half_right
    r = (u - u_ip1)/(u_ip1 - u_ip2)
    phi = limiter(r)
    u_iph_right = u_ip1 + 0.5*(u_ip1 - u_ip2)*phi

    f_interface = godunov(u_iph_left, u_iph_right)
    f_interface = np.hstack([0, f_interface])

    du_dt = (f_interface[0:n] - f_interface[1:n+1])/dx
    return du_dt

u = np.zeros((t_steps,n))
u[0] = u_init
u_curr = u_init.copy()
for k in range (1, t_steps):
     u_curr = u_curr + dt * dudt(u_curr, t[k-1], dx)
     u[k] = u_curr",human
Burgers_InValid_3,Burgers_3,burgers,advection,False,explicit,56,1343,5,Blows up to NaN,"import numpy as np
from scipy.integrate import odeint

n = 200

x0 = 0
xn = 1
dx = (xn - x0)/n
x_interface = np.linspace(x0, xn, n+1)
x = x_interface[0:n] + dx/2

t0 = 0
tn = .5
t_steps = 200
t = np.linspace(t0, tn, t_steps)
dt = t[1] - t[0]

u_init = np.sin(2*np.pi*x)


def dudt_upwind(u_bar, t, dx):

    n = u_bar.shape[0]

    # u_bar denotes state in cell centers (in the formulas written as \bar{u}_i)
    f_bar = u_bar**2 / 2
    # f_bar denotes f(u_bar) in cell centers, using Burgers' equation f(u) = u^2/2

    f_interface = np.zeros(shape=(n+1,))
    assert f_interface.shape[0] == u_bar.shape[0] + 1
    # Flux at the cell boundaries from f_{0-1/2} to f_{n+1/2}

    s = np.zeros_like(f_interface)
    s[1:n] = (u_bar[0:n-1] + u_bar[1:n]) / 2

    # Shock speed at the cell boundaries from f_{0-1/2} to f_{n+1/2},
    f_interface[0] = 0

    for i in range(1, n):
        if s[i] > 0:
             f_interface[i] = f_bar[i]
        else:
              f_interface[i] = f_bar[i-1]

    f_interface[n] = 0

    dudt = (f_interface[0:n] - f_interface[1:n+1])/dx
    return dudt

u = np.zeros((t_steps,n))
    # Compute the time derivative as the difference of flux directed into the cell.
u[0] = u_init
u_curr = u_init.copy()
for k in range (1, t_steps):
     u_curr = u_curr + dt * dudt_upwind(u_curr, t[k-1], dx)
     u[k] = u_curr",human
Burgers_Valid_3,Burgers_3,burgers,advection,True,explicit,56,1341,5,,"import numpy as np
from scipy.integrate import odeint

n = 200

x0 = 0
xn = 1
dx = (xn - x0)/n
x_interface = np.linspace(x0, xn, n+1)
x = x_interface[0:n] + dx/2

t0 = 0
tn = .5
t_steps = 200
t = np.linspace(t0, tn, t_steps)
dt = t[1] - t[0]

u_init = np.sin(2*np.pi*x)


def dudt_upwind(u_bar, t, dx):

    n = u_bar.shape[0]

    # u_bar denotes state in cell centers (in the formulas written as \bar{u}_i)
    # f_bar denotes f(u_bar) in cell centers, using Burgers' equation f(u) = u^2/2
    f_bar = u_bar**2 / 2

    # Flux at the cell boundaries from f_{0-1/2} to f_{n+1/2}
    f_interface = np.zeros(shape=(n+1,))
    assert f_interface.shape[0] == u_bar.shape[0] + 1

    # Shock speed at the cell boundaries from f_{0-1/2} to f_{n+1/2},
    s = np.zeros_like(f_interface)
    s[1:n] = (u_bar[0:n-1] + u_bar[1:n]) / 2

    f_interface[0] = 0

    for i in range(1, n):
        if s[i] > 0:
            f_interface[i] = f_bar[i-1]
        else:
             f_interface[i] = f_bar[i]

    f_interface[n] = 0

    # Compute the time derivative as the difference of flux directed into the cell.
    dudt = (f_interface[0:n] - f_interface[1:n+1])/dx
    return dudt

u = np.zeros((t_steps,n))
u[0] = u_init
u_curr = u_init.copy()
for k in range (1, t_steps):
     u_curr = u_curr + dt * dudt_upwind(u_curr, t[k-1], dx)
     u[k] = u_curr",human
Burgers_InValid_4,Burgers_4,burgers,advection,False,explicit,48,1226,6,"Physically wrong solution, has jaggedness and discontinuities","import numpy as np
from scipy.integrate import odeint

n = 100

x0 = 0
xn = 1
dx = (xn - x0)/n
x_interface = np.linspace(x0, xn, n+1)
x = x_interface[0:n] + dx/2

t0 = 0
tn = 0.5
t_steps = 200
t = np.linspace(t0, tn, t_steps)
dt = t[1] - t[0]

u_init = np.sin(2*np.pi*x)


def dudt_central(u_bar, t, dx):
    # u_bar denotes average state in the cells, in formulas above denoted as \bar{u}_i.
    n = u_bar.shape[0]
    # f_bar denotes f(u_bar) in cell centers, using Burgers' equation f(u) = u^2/2

    f_bar = u_bar**2 / 2
    f_interface = 0.5*(f_bar[0:n-1] + f_bar[1:n])
    # Flux f(u_i), computed for average state u_i in cell i.

    f_interface = np.hstack([0, f_interface, 0])
    # Lax-Friedrichs dissipation

    assert len(f_interface) == len(u_bar) + 1

    du_dt = (f_interface[0:n] - f_interface[1:n+1])/dx
    return du_dt
    # Add flux at boundaries of the domain at interfaces f_{0-1/2} and f_{n+1/2}

u = odeint(dudt_central, u_init, t, args=(dx,))


u = np.zeros((t_steps,n))
    # Compute the time derivative as the difference of flux directed into the cell.
u[0] = u_init
u_curr = u_init.copy()
for k in range (1, t_steps):
     u_curr = u_curr + dt * dudt_central(u_curr, t[k-1], dx)
     u[k] = u_curr",human
Burgers_Valid_4,Burgers_4,burgers,advection,True,explicit,50,1332,6,,"import numpy as np
from scipy.integrate import odeint

n = 100

x0 = 0
xn = 1
dx = (xn - x0)/n
x_interface = np.linspace(x0, xn, n+1)
x = x_interface[0:n] + dx/2

t0 = 0
tn = 0.5
t_steps = 200
t = np.linspace(t0, tn, t_steps)
dt = t[1] - t[0]

u_init = np.sin(2*np.pi*x)


def dudt_central(u_bar, t, dx):
    # u_bar denotes average state in the cells, in formulas above denoted as \bar{u}_i.
    # f_bar denotes f(u_bar) in cell centers, using Burgers' equation f(u) = u^2/2
    n = u_bar.shape[0]

    # Flux f(u_i), computed for average state u_i in cell i.
    f_bar = u_bar**2 / 2
    # Lax-Friedrichs dissipation
    alpha = np.maximum(np.abs(u_bar[0:n-1]), np.abs(u_bar[1:n]))

    f_interface = 0.5*(f_bar[0:n-1] + f_bar[1:n]) - 0.5*alpha*(u_bar[1:n] - u_bar[0:n-1])

    # Add flux at boundaries of the domain at interfaces f_{0-1/2} and f_{n+1/2}
    f_interface = np.hstack([0, f_interface, 0])

    assert len(f_interface) == len(u_bar) + 1

    # Compute the time derivative as the difference of flux directed into the cell.
    du_dt = (f_interface[0:n] - f_interface[1:n+1])/dx
    return du_dt

u = odeint(dudt_central, u_init, t, args=(dx,))


u = np.zeros((t_steps,n))
u[0] = u_init
u_curr = u_init.copy()
for k in range (1, t_steps):
     u_curr = u_curr + dt * dudt_central(u_curr, t[k-1], dx)
     u[k] = u_curr",human
Heat_InValid_1,Heat_1,heat,diffusion,False,explicit,41,780,5,Extreme Spikes in temperature between very short intervals that perist over time from u[0] - u[100],"import numpy as np
from scipy.integrate import odeint
from scipy.linalg import toeplitz

k = 1

# Spatial domain

n = 100
L = 1
dx = L / n
x = np.linspace(0, L, n)

# Boundary conditions

T0 = 0
Tn = 0.1
t_steps = 1000
t = np.linspace(T0, Tn, t_steps)

U0 = 1
Un = -1

Uinit = np.zeros(shape=(n,))

# Constructing the toeplitz matrix that forms the basis of our integrator

A = toeplitz([-2.0, 1.0] + [0.0]*(n-2))

b = np.zeros(shape=(n))
b[0] = U0
b[n-1] = Un

# Performing the finite difference method usinng the Neumann Boundary Conditions

def fn(u, t, A, b, k, dx):
    return ((k/dx**2)*np.matmul(-A, u) + (k/dx**3)*b)

# Solves using the scipy method odeint, which is a wrapper for the method LSODA from ODEPACK Fortran Library

u = odeint(fn, Uinit, t, args=(A, b, k, dx))",human
Heat_Valid_1,Heat_1,heat,diffusion,True,explicit,36,774,5,,"import numpy as np
from scipy.integrate import odeint
from scipy.linalg import toeplitz

k = 1

# Spatial domain
n = 100
L = 1
dx = L / n
x = np.linspace(0, L, n)

# Boundary conditions
T0 = 0
Tn = 0.1
t_steps = 1001
t = np.linspace(T0, Tn, t_steps)

U0 = 1
Un = -1

Uinit = np.zeros(shape=(n,))

# Constructing the toeplitz matrix that forms the basis of our integrator
A = toeplitz([-2.0, 1.0] + [0.0]*(n-2))

b = np.zeros(shape=(n))
b[0] = U0
b[n-1] = Un

# Performing the finite difference method usinng the Neumann Boundary Conditions
def fn(u, t, A, b, k, dx):
    return ((k/dx**2)*np.matmul(A, u) + (k/dx**2)*b)

# Solves using the scipy method odeint, which is a wrapper for the method LSODA from ODEPACK Fortran Library
u = odeint(fn, Uinit, t, args=(A, b, k, dx))",human
