item_id,gt_sample,pde_class,num_method,phys_process,source,condition,corrupted_view,traj_level,names,order_seed,slot_1,slot_2,slot_3,slot_4,outlier_slot,gt_pde_class,gt_num_method,invalidity_note,desc_len_valid,desc_len_wrong,desc_len_delta,code_len_valid,code_len_wrong,code_len_delta,code_blank_runs_valid,code_blank_runs_wrong,traj_shape_valid,traj_shape_swap,render_grid,render_recon_err,flag_render_hard,flag_identity_leak,flag_near_duplicate,needs_exec
Burgers_1|A0|obfuscated|0,Burgers_1,burgers,explicit,advection,human,A0,none,valid,obfuscated,0,trajectory,description,code,math,,burgers,explicit,,422,414,-8,2102,2102,0,18,18,10x100x1x1,10x300x1x1,10x64x1x1,0.0604,0,0,1,0
Burgers_1|A0|obfuscated|1,Burgers_1,burgers,explicit,advection,human,A0,none,valid,obfuscated,1,description,code,math,trajectory,,burgers,explicit,,422,414,-8,2102,2102,0,18,18,10x100x1x1,10x300x1x1,10x64x1x1,0.0604,0,0,1,0
Burgers_1|A0|real|0,Burgers_1,burgers,explicit,advection,human,A0,none,valid,real,0,trajectory,description,code,math,,burgers,explicit,,422,414,-8,2102,2102,0,18,18,10x100x1x1,10x300x1x1,10x64x1x1,0.0604,0,0,1,0
Burgers_1|A0|real|1,Burgers_1,burgers,explicit,advection,human,A0,none,valid,real,1,description,code,math,trajectory,,burgers,explicit,,422,414,-8,2102,2102,0,18,18,10x100x1x1,10x300x1x1,10x64x1x1,0.0604,0,0,1,0
Burgers_1|X_C|obfuscated|0,Burgers_1,burgers,explicit,advection,human,X_C,code,valid,obfuscated,0,code,description,math,trajectory,1,burgers,explicit,,422,414,-8,2102,2102,0,18,18,10x100x1x1,10x300x1x1,10x64x1x1,0.0604,0,0,1,0
Burgers_1|X_C|obfuscated|1,Burgers_1,burgers,explicit,advection,human,X_C,code,valid,obfuscated,1,trajectory,math,code,description,3,burgers,explicit,,422,414,-8,2102,2102,0,18,18,10x100x1x1,10x300x1x1,10x64x1x1,0.0604,0,0,1,0
Burgers_1|X_C|real|0,Burgers_1,burgers,explicit,advection,human,X_C,code,valid,real,0,code,description,math,trajectory,1,burgers,explicit,,422,414,-8,2102,2102,0,18,18,10x100x1x1,10x300x1x1,10x64x1x1,0.0604,0,0,1,0
Burgers_1|X_C|real|1,Burgers_1,burgers,explicit,advection,human,X_C,code,valid,real,1,trajectory,math,code,description,3,burgers,explicit,,422,414,-8,2102,2102,0,18,18,10x100x1x1,10x300x1x1,10x64x1x1,0.0604,0,0,1,0
Burgers_1|X_D|obfuscated|0,Burgers_1,burgers,explicit,advection,human,X_D,description,valid,obfuscated,0,description,trajectory,code,math,1,burgers,explicit,,422,414,-8,2102,2102,0,18,18,10x100x1x1,10x300x1x1,10x64x1x1,0.0604,0,0,1,0
Burgers_1|X_D|obfuscated|1,Burgers_1,burgers,explicit,advection,human,X_D,description,valid,obfuscated,1,code,math,description,trajectory,3,burgers,explicit,,422,414,-8,2102,2102,0,18,18,10x100x1x1,10x300x1x1,10x64x1x1,0.0604,0,0,1,0
