title,gt_sample,pde_class,phys_process,phys_valid,num_method,num_lines,num_char,num_comments,invalidity_note,code
Burgers_Valid_5,Burgers_5,burgers,advection,True,explicit,38,901,5,,"import numpy as np


# Domain and physical parameters
L, nu = 2.0, 0.0
nx, nt = 400, 600
dx = L / nx
x = np.linspace(0, L, nx, endpoint=False)


# sinusoidal initial condition, positive-biased
u = np.sin(2 * np.pi * x / L) + 0.5
cfl = 0.4


def godunov_flux(uL, uR):
    fL, fR = 0.5 * uL**2, 0.5 * uR**2
    shock_speed = 0.5 * (uL + uR)
    flux = np.where(uL <= uR,
                     np.where(uL >= 0, fL, np.where(uR <= 0, fR, 0.0)),
                     np.where(shock_speed > 0, fL, fR))
    return flux


frames = [u.copy()]
for n in range(nt):
    # CFL re-checked as the profile steepens
    dt = cfl * dx / max(np.max(np.abs(u)), 1e-8)
    uL = u
    # periodic boundary conditions
    uR = np.roll(u, -1)
    F = godunov_flux(uL, uR)
    F_left = np.roll(F, 1)
    # conservative finite-volume update
    u = u - dt / dx * (F - F_left)
    if n % 4 == 0:
        frames.append(u.copy())
"
Burgers_InValid_5,Burgers_5,burgers,advection,False,explicit,38,902,5,trajectories oscillate and then blow up once shock forms,"import numpy as np


# Domain and physical parameters
L, nu = 2.0, 0.0
nx, nt = 400, 600
dx = L / nx
x = np.linspace(0, L, nx, endpoint=False)


# sinusoidal initial condition, positive-biased
u = np.sin(2 * np.pi * x / L) + 0.5
cfl = 0.4


def godunov_flux(uL, uR):
    fL, fR = 0.5 * uL**2, 0.5 * uR**2
    shock_speed = 0.5 * (uL + uR)
    flux = np.where(uL <= uR,
                     np.where(uL >= 0, fL, np.where(uR <= 0, fR, 0.0)),
                     np.where(shock_speed > 0, fL, fR))
    return flux


frames = [u.copy()]
for n in range(nt):
    # CFL re-checked as the profile steepens
    dt = cfl * dx / max(np.max(np.abs(u)), 1e-8)
    uL = u
    # periodic boundary conditions
    uR = np.roll(u, -1)
    F = godunov_flux(uL, uR)
    F_left = np.roll(F, -1)
    # conservative finite-volume update
    u = u - dt / dx * (F - F_left)
    if n % 4 == 0:
        frames.append(u.copy())
"
Burgers_Valid_6,Burgers_6,burgers,advection/diffusion,True,explicit,34,956,6,,"import numpy as np


# Domain and physical parameters
L, nu = 1.0, 0.005
nx, nt = 300, 1500
dx = L / nx
x = np.linspace(0, L, nx, endpoint=False)


# top-hat / step initial condition
u = 0.1 + 0.9 * ((x > 0.2) & (x < 0.5))
cfl, diff_num = 0.5, 0.4
# advective + diffusive CFL
dt = min(cfl * dx / np.max(np.abs(u)), diff_num * dx**2 / nu)


frames = [u.copy()]
for n in range(nt):
    f = 0.5 * u**2
    fp, fm = np.roll(f, -1), np.roll(f, 1)
    up, um = np.roll(u, -1), np.roll(u, 1)
    # local wave speed at i+1/2 for the LW correction
    a_half_p = 0.5 * (u + up)
    a_half_m = 0.5 * (u + um)
    # Lax-Wendroff flux
    lw_flux_p = 0.5 * (f + fp) - 0.5 * dt / dx * a_half_p * (fp - f)
    lw_flux_m = 0.5 * (f + fm) - 0.5 * dt / dx * a_half_m * (f - fm)
    # explicit central diffusion
    diffusion = nu * dt / dx**2 * (up - 2 * u + um)
    u = u - dt / dx * (lw_flux_p - lw_flux_m) + diffusion
    if n % 10 == 0:
        frames.append(u.copy())
"
Burgers_InValid_6,Burgers_6,burgers,advection/diffusion,False,explicit,35,1028,7,becomes NaNs almost immediately,"import numpy as np


# Domain and physical parameters
L, nu = 1.0, 0.005
nx, nt = 300, 1500
dx = L / nx
x = np.linspace(0, L, nx, endpoint=False)


# top-hat / step initial condition
u = 0.1 + 0.9 * ((x > 0.2) & (x < 0.5))
cfl, diff_num = 0.5, 0.4
# advective + diffusive CFL
dt = min(cfl * dx / np.max(np.abs(u)), diff_num * dx**2 / nu)


frames = [u.copy()]
for n in range(nt):
    f = 0.5 * u**2
    fp, fm = np.roll(f, -1), np.roll(f, 1)
    up, um = np.roll(u, -1), np.roll(u, 1)
    # local wave speed at i+1/2 for the LW correction
    a_half_p = 0.5 * (u + up)
    a_half_m = 0.5 * (u + um)
    # Lax-Wendroff flux
    lw_flux_p = 0.5 * (f + fp) - 0.5 * dt / dx * a_half_p * (fp - f)
    lw_flux_m = 0.5 * (f + fm) - 0.5 * dt / dx * a_half_m * (f - fm)
    # explicit central diffusion
    diffusion = nu * dt / dx**2 * (up - 2 * u + um)
    u = u - dt / dx * (lw_flux_p - lw_flux_m) - diffusion
    # capture densely early on since the blow-up is very fast
    if n < 30 or n % 10 == 0:
        frames.append(u.copy())
"
Burgers_Valid_7,Burgers_7,burgers,advection/diffusion,True,explicit,30,763,5,,"import numpy as np


# Domain and physical parameters
L, nu = 1.0, 0.01
nx, nt = 300, 2000
dx = L / nx
x = np.linspace(0, L, nx, endpoint=False)


# Gaussian pulse initial condition
u = 1.5 * np.exp(-((x - 0.3) ** 2) / (2 * 0.05 ** 2))
cfl, diff_num = 0.4, 0.4
# advective + diffusive CFL
dt = min(cfl * dx / np.max(np.abs(u)), diff_num * dx**2 / nu)


frames = [u.copy()]
for n in range(nt):
    up, um = np.roll(u, -1), np.roll(u, 1)
    du_forward = (up - u) / dx
    du_backward = (u - um) / dx
    # upwind based on local sign of u
    advect = np.where(u >= 0, u * du_backward, u * du_forward)
    # central diffusion term
    diffuse = nu * (up - 2 * u + um) / dx**2
    u = u + dt * (-advect + diffuse)
    if n % 13 == 0:
        frames.append(u.copy())
"
Burgers_InValid_7,Burgers_7,burgers,advection/diffusion,False,explicit,31,825,6,creates very violent bounded oscillations,"import numpy as np


# Domain and physical parameters
L, nu = 1.0, 0.01
nx, nt = 300, 2000
dx = L / nx
x = np.linspace(0, L, nx, endpoint=False)


# Gaussian pulse initial condition
u = 1.5 * np.exp(-((x - 0.3) ** 2) / (2 * 0.05 ** 2))
cfl, diff_num = 0.4, 0.4
# advective + diffusive CFL
dt = min(cfl * dx / np.max(np.abs(u)), diff_num * dx**2 / nu)


frames = [u.copy()]
for n in range(nt):
    up, um = np.roll(u, -1), np.roll(u, 1)
    du_forward = (up - u) / dx
    du_backward = (u - um) / dx
    # upwind based on local sign of u
    advect = np.where(u >= 0, u * du_backward, u * du_forward)
    # central diffusion term
    diffuse = nu * (up - 2 * u + um) / dx**2
    u = u + dt * (-advect - diffuse)
    # capture densely early so the onset is visible
    if n < 40 or n % 13 == 0:
        frames.append(u.copy())
"
Burgers_Valid_8,Burgers_8,burgers,advection/diffusion,True,explicit,44,1312,5,,"import numpy as np


# Domain and physical parameters
L, nu = 1.0, 0.02
nx = ny = 101
dx = dy = L / (nx - 1)
x = np.linspace(0, L, nx)
y = np.linspace(0, L, ny)
X, Y = np.meshgrid(x, y, indexing=""ij"")


# sinusoidal shear-layer initial condition
u = np.sin(2 * np.pi * X) * np.cos(2 * np.pi * Y)
v = -np.cos(2 * np.pi * X) * np.sin(2 * np.pi * Y)


cfl, diff_num = 0.3, 0.2
speed0 = np.sqrt(u**2 + v**2).max()
# advective + diffusive CFL, 2D
dt = min(cfl * dx / speed0, diff_num * dx**2 / nu)
nt = 300


def upwind_deriv(f, axis, vel):
    fp = np.roll(f, -1, axis=axis)
    fm = np.roll(f, 1, axis=axis)
    return np.where(vel >= 0, (f - fm) / dx, (fp - f) / dx)


# subsample for the quiver overlay so arrows stay readable
skip = 5
frames = [np.sqrt(u**2 + v**2)]
for n in range(nt):
    ux = upwind_deriv(u, 0, u); uy = upwind_deriv(u, 1, v)
    vx = upwind_deriv(v, 0, u); vy = upwind_deriv(v, 1, v)
    lap_u = (np.roll(u, -1, 0) + np.roll(u, 1, 0) + np.roll(u, -1, 1) + np.roll(u, 1, 1) - 4 * u) / dx**2
    lap_v = (np.roll(v, -1, 0) + np.roll(v, 1, 0) + np.roll(v, -1, 1) + np.roll(v, 1, 1) - 4 * v) / dx**2
    # coupled momentum update
    u = u + dt * (-(u * ux + v * uy) + nu * lap_u)
    v = v + dt * (-(u * vx + v * vy) + nu * lap_v)
    if n % 2 == 0:
        frames.append(np.sqrt(u**2 + v**2))
"
Burgers_InValid_8,Burgers_8,burgers,advection/diffusion,False,explicit,45,1382,6,blows up to NaNs,"import numpy as np


# Domain and physical parameters
L, nu = 1.0, 0.02
nx = ny = 101
dx = dy = L / (nx - 1)
x = np.linspace(0, L, nx)
y = np.linspace(0, L, ny)
X, Y = np.meshgrid(x, y, indexing=""ij"")


# sinusoidal shear-layer initial condition
u = np.sin(2 * np.pi * X) * np.cos(2 * np.pi * Y)
v = -np.cos(2 * np.pi * X) * np.sin(2 * np.pi * Y)


cfl, diff_num = 0.3, 0.2
speed0 = np.sqrt(u**2 + v**2).max()
# advective + diffusive CFL, 2D
dt = min(cfl * dx / speed0, diff_num * dx**2 / nu)
nt = 300


def upwind_deriv(f, axis, vel):
    fp = np.roll(f, -1, axis=axis)
    fm = np.roll(f, 1, axis=axis)
    return np.where(vel >= 0, (f - fm) / dx, (fp - f) / dx)


# subsample for the quiver overlay so arrows stay readable
skip = 5
frames = [np.sqrt(u**2 + v**2)]
for n in range(nt):
    ux = upwind_deriv(u, 0, u); uy = upwind_deriv(u, 1, v)
    vx = upwind_deriv(v, 0, u); vy = upwind_deriv(v, 1, v)
    lap_u = (np.roll(u, -1, 0) + np.roll(u, 1, 0) + np.roll(u, -1, 1) + np.roll(u, 1, 1) - 4 * u) / dx**2
    lap_v = (np.roll(v, -1, 0) + np.roll(v, 1, 0) + np.roll(v, -1, 1) + np.roll(v, 1, 1) - 4 * v) / dx**2
    # coupled momentum update
    u = u + dt * (-(u * ux + v * uy) - nu * lap_u)
    v = v + dt * (-(u * vx + v * vy) - nu * lap_v)
    # capture densely early so the blow-up onset is visible
    if n < 40 or n % 2 == 0:
        frames.append(np.sqrt(u**2 + v**2))
"
Heat_Valid_5,Heat_5,heat,diffusion,True,explicit,32,670,5,,"import numpy as np


# Domain and physical parameters
L, alpha = 1.0, 0.01
nx, nt = 101, 2000
dx = L / (nx - 1)
# CFL condition for FTCS: alpha*dt/dx^2 <= 0.5
dt = 0.4 * dx**2 / alpha
r = alpha * dt / dx**2


x = np.linspace(0, L, nx)
# Gaussian initial condition
u = np.exp(-((x - L / 2) ** 2) / (2 * 0.02 ** 2))
# Dirichlet boundary conditions
u[0], u[-1] = 0.0, 0.0


snapshots = {0: u.copy()}
save_steps = [nt // 4, nt // 2, nt - 1]


for n in range(nt):
    u_new = u.copy()
    # explicit update
    u_new[1:-1] = u[1:-1] + r * (u[2:] - 2 * u[1:-1] + u[:-2])
    u_new[0], u_new[-1] = 0.0, 0.0
    u = u_new
    if n in save_steps:
        snapshots[n] = u.copy()
"
Heat_InValid_5,Heat_5,heat,diffusion,False,explicit,32,670,5,"blow ups, overflow","import numpy as np


# Domain and physical parameters
L, alpha = 1.0, 0.01
nx, nt = 101, 2000
dx = L / (nx - 1)
# CFL condition for FTCS: alpha*dt/dx^2 <= 0.5
dt = 0.4 * dx**2 / alpha
r = alpha * dt / dx**2


x = np.linspace(0, L, nx)
# Gaussian initial condition
u = np.exp(-((x - L / 2) ** 2) / (2 * 0.02 ** 2))
# Dirichlet boundary conditions
u[0], u[-1] = 0.0, 0.0


snapshots = {0: u.copy()}
save_steps = [nt // 4, nt // 2, nt - 1]


for n in range(nt):
    u_new = u.copy()
    # explicit update
    u_new[1:-1] = u[1:-1] - r * (u[2:] - 2 * u[1:-1] + u[:-2])
    u_new[0], u_new[-1] = 0.0, 0.0
    u = u_new
    if n in save_steps:
        snapshots[n] = u.copy()
"
Heat_Valid_6,Heat_6,heat,diffusion,True,implicit,41,879,5,,"import numpy as np
from scipy.linalg import solve_banded


# Domain and physical parameters
L, alpha = 1.0, 0.01
nx, nt = 101, 500
dx = L / (nx - 1)
# No CFL restriction needed; Crank-Nicolson is unconditionally stable
dt = 0.001
r = alpha * dt / dx**2


x = np.linspace(0, L, nx)
u = np.zeros(nx)
# top-hat initial condition
u[(x > 0.4) & (x < 0.6)] = 1.0
u[0], u[-1] = 0.0, 0.0


# Build tridiagonal system (I - r/2 * D2) u_new = (I + r/2 * D2) u_old
n_int = nx - 2
ab = np.zeros((3, n_int))
ab[0, 1:] = -r / 2
ab[1, :] = 1 + r
ab[2, :-1] = -r / 2


snapshots = {0: u.copy()}
save_steps = [nt // 4, nt // 2, nt - 1]


for n in range(nt):
    # explicit half-step RHS
    rhs = (r / 2) * u[:-2] + (1 - r) * u[1:-1] + (r / 2) * u[2:]
    u_int = solve_banded((1, 1), ab, rhs)
    u[1:-1] = u_int
    u[0], u[-1] = 0.0, 0.0
    if n in save_steps:
        snapshots[n] = u.copy()
"
Heat_InValid_6,Heat_6,heat,diffusion,False,implicit,41,880,5,breaks symmetry,"import numpy as np
from scipy.linalg import solve_banded


# Domain and physical parameters
L, alpha = 1.0, 0.01
nx, nt = 101, 500
dx = L / (nx - 1)
# No CFL restriction needed; Crank-Nicolson is unconditionally stable
dt = 0.001
r = alpha * dt / dx**2


x = np.linspace(0, L, nx)
u = np.zeros(nx)
# top-hat initial condition
u[(x > 0.4) & (x < 0.6)] = 1.0
u[0], u[-1] = 0.0, 0.0


# Build tridiagonal system (I - r/2 * D2) u_new = (I + r/2 * D2) u_old
n_int = nx - 2
ab = np.zeros((3, n_int))
ab[0, 1:] = -r / 2
ab[1, :] = 1 + r
ab[2, :-1] = -r / 2


snapshots = {0: u.copy()}
save_steps = [nt // 4, nt // 2, nt - 1]


for n in range(nt):
    # explicit half-step RHS
    rhs = (r / 2) * u[1:-1] + (1 - r) * u[1:-1] + (r / 2) * u[2:]
    u_int = solve_banded((1, 1), ab, rhs)
    u[1:-1] = u_int
    u[0], u[-1] = 0.0, 0.0
    if n in save_steps:
        snapshots[n] = u.copy()
"
Heat_Valid_7,Heat_7,heat,diffusion,True,implicit,52,1319,5,,"import numpy as np
from scipy.linalg import solve_banded


# Domain and physical parameters
L, alpha = 1.0, 0.01
nx = ny = 61
dx = dy = L / (nx - 1)
# ADI is unconditionally stable, so dt is chosen for accuracy, not stability
dt = 0.005
r = alpha * dt / dx**2
nt = 100


x = np.linspace(0, L, nx)
y = np.linspace(0, L, ny)
u = np.zeros((ny, nx))
# multi-point sources
sources = [(0.25, 0.25), (0.75, 0.75), (0.25, 0.75), (0.75, 0.25)]
for sx, sy in sources:
    i, j = int(sy / dy), int(sx / dx)
    u[i, j] = 50.0


def thomas_solve(n, r):
    ab = np.zeros((3, n))
    ab[0, 1:] = -r / 2
    ab[1, :] = 1 + r
    ab[2, :-1] = -r / 2
    return ab


ab_int = thomas_solve(nx - 2, r)


for n in range(nt):
    # Half-step 1: implicit in x, explicit in y
    u_star = u.copy()
    for i in range(1, ny - 1):
        rhs = (r / 2) * u[i, :-2] - (r - 1) * u[i, 1:-1] + (r / 2) * u[i, 2:]
        rhs += (r / 2) * (u[i - 1, 1:-1] - 2 * u[i, 1:-1] + u[i + 1, 1:-1])
        u_star[i, 1:-1] = solve_banded((1, 1), ab_int, rhs)
    # Half-step 2: implicit in y, explicit in x
    u_new = u_star.copy()
    for j in range(1, nx - 1):
        rhs = (r / 2) * u_star[:-2, j] - (r - 1) * u_star[1:-1, j] + (r / 2) * u_star[2:, j]
        u_new[1:-1, j] = solve_banded((1, 1), ab_int, rhs)
    u = u_new


X, Y = np.meshgrid(x, y)
"
Heat_InValid_7,Heat_7,heat,diffusion,False,implicit,52,1319,5,heat spreads unevenly by direction,"import numpy as np
from scipy.linalg import solve_banded


# Domain and physical parameters
L, alpha = 1.0, 0.01
nx = ny = 61
dx = dy = L / (nx - 1)
# ADI is unconditionally stable, so dt is chosen for accuracy, not stability
dt = 0.005
r = alpha * dt / dx**2
nt = 100


x = np.linspace(0, L, nx)
y = np.linspace(0, L, ny)
u = np.zeros((ny, nx))
# multi-point sources
sources = [(0.25, 0.25), (0.75, 0.75), (0.25, 0.75), (0.75, 0.25)]
for sx, sy in sources:
    i, j = int(sy / dy), int(sx / dx)
    u[i, j] = 50.0


def thomas_solve(n, r):
    ab = np.zeros((3, n))
    ab[0, 1:] = -r / 2
    ab[1, :] = 1 + r
    ab[2, :-1] = -r / 2
    return ab


ab_int = thomas_solve(nx - 2, r)


for n in range(nt):
    # Half-step 1: implicit in x, explicit in y
    u_star = u.copy()
    for i in range(1, ny - 1):
        rhs = (r / 2) * u[i, :-2] - (r - 1) * u[i, 1:-1] + (r / 2) * u[i, 2:]
        rhs -= (r / 2) * (u[i - 1, 1:-1] - 2 * u[i, 1:-1] + u[i + 1, 1:-1])
        u_star[i, 1:-1] = solve_banded((1, 1), ab_int, rhs)
    # Half-step 2: implicit in y, explicit in x
    u_new = u_star.copy()
    for j in range(1, nx - 1):
        rhs = (r / 2) * u_star[:-2, j] - (r - 1) * u_star[1:-1, j] + (r / 2) * u_star[2:, j]
        u_new[1:-1, j] = solve_banded((1, 1), ab_int, rhs)
    u = u_new


X, Y = np.meshgrid(x, y)
"
