gt_sample,docstring_summary,pde_class,phys_process,num_method,invalidity_note,reasoning
Burgers_5,"1D Burgers' Equation (inviscid, nu=0): Godunov's method with exact Riemann flux, animated as a GIF. Initial condition: sinusoidal wave that steepens into a shock.",burgers,advection,explicit,trajectories oscillate and then blow up once shock forms,"nu=0 (inviscid): pure advection/shock formation, no diffusion term in the PDE."
Burgers_6,"1D Burgers' Equation (viscous, nu>0): Lax-Wendroff advection with an added explicit diffusion term, animated as a GIF. Initial condition: top-hat profile.",burgers,advection/diffusion,explicit,becomes NaNs almost immediately,nu=0.005>0: explicit Lax-Wendroff advection flux plus explicit central-difference diffusion term.
Burgers_7,"1D Burgers' Equation (viscous, nu>0): explicit finite differences using sign-based upwinding for advection and central differencing for diffusion, animated as a GIF. Initial condition: smooth Gaussian pulse.",burgers,advection/diffusion,explicit,creates very violent bounded oscillations,nu=0.01>0: explicit upwind advection plus explicit central diffusion term.
Burgers_8,"2D Vector Burgers' Equation (viscous, nu>0) for coupled components (u, v), animated as a GIF. Initial condition: smooth sinusoidal shear-layer field.",burgers,advection/diffusion,explicit,blows up to NaNs,"nu=0.02>0, 2D coupled (u,v): explicit upwind advection plus explicit diffusion, same reasoning as the 1D viscous cases."
Heat_5,1D Heat Equation: Explicit FTCS (Forward-Time Central-Space) scheme. Initial condition: Gaussian pulse.,heat,diffusion,explicit,"blow ups, overflow",Pure heat/diffusion equation; FTCS is a standard explicit forward-time update.
Heat_6,1D Heat Equation: Crank-Nicolson (unconditionally stable implicit scheme). Initial condition: top-hat / step function.,heat,diffusion,implicit,breaks symmetry,Crank-Nicolson solves a tridiagonal system each step (implicit).
Heat_7,2D Heat Equation: Alternating Direction Implicit (ADI) scheme. Initial condition: multiple point heat sources.,heat,diffusion,implicit,heat spreads unevenly by direction,ADI solves an implicit tridiagonal system on each half-step sweep.
Heat_8,"2D Heat Equation: Fourier spectral method (periodic BCs), exact in time via FFT. Initial condition: sinusoidal wave pattern.",heat,diffusion,spectral,blows up,Exact spectral (FFT) time-advance of each Fourier mode's decay factor.
NavierStokes_5,"1D Navier-Stokes: pressure-driven channel (Poiseuille) start-up flow, animated as a GIF. Explicit FTCS finite differences for the viscous diffusion term. Initial condition: fluid at rest, impulsively started by a constant pressure gradient.",navier-stokes,diffusion/restoration,explicit,blows up to NaNs,NEEDS REVIEW: 1D channel start-up flow has no advective nonlinearity (u.grad(u)=0 by symmetry in this formulation) -- it diffuses momentum from the walls and relaxes toward a steady parabolic profile under a constant pressure gradient (restoration). Explicit FTCS time-stepping.
NavierStokes_6,"1D Navier-Stokes: Stokes' first problem (Rayleigh problem) - impulsively started wall, animated as a GIF. Crank-Nicolson implicit finite differences (unconditionally stable). Initial condition: fluid at rest, driven only by a no-slip moving wall at y=0.",navier-stokes,diffusion,implicit,values climb up linearly and continuously,"NEEDS REVIEW: Stokes' first problem -- no advective nonlinearity (1D unidirectional flow) and no forcing/steady-state target, so tagged as pure diffusion (momentum diffusing outward from the impulsively-started wall) rather than diffusion/restoration. Crank-Nicolson implicit time-stepping."
NavierStokes_7,"2D Incompressible Navier-Stokes: Chorin's projection method on a collocated grid, animated as a GIF. Lid-driven cavity flow, moderate Reynolds number.",navier-stokes,advection/diffusion,explicit/implicit,NaNs very early on,Full 2D advection (u.grad(u)) + viscous diffusion; Chorin projection explicitly advances momentum but solves the pressure Poisson equation via an implicit iterative (Jacobi) solve each step.
NavierStokes_8,"2D Navier-Stokes (vorticity-streamfunction form), near-inviscid high-Reynolds regime, animated as a GIF. Pseudo-spectral FFT method with 2/3 dealiasing. Initial condition: double shear layer (Kelvin-Helmholtz roll-up test case).",navier-stokes,advection/diffusion,spectral/explicit,stays bounded but oscillating heavily between values,"Nonlinear advection of vorticity plus weak (near-inviscid, nu=1e-4) diffusion; spatial derivatives via FFT (spectral), explicit RK2 (Heun) time-stepping -- matches the 'spectral/explicit' tag convention already used elsewhere in the dataset."
Wave_5,"1D Wave Equation: standard explicit FDTD leapfrog scheme, animated as a GIF. Initial condition: Gaussian displacement, zero initial velocity.",wave,oscillation,explicit,"ends up looking like just diffusion, no oscillations","Standard explicit FDTD leapfrog update, no damping/forcing term."
Wave_6,"1D Wave Equation: pseudo-spectral FFT method (periodic BCs), animated as a GIF. Each Fourier mode is advanced by its exact analytic time solution. Initial condition: zero displacement, localized initial velocity pulse.",wave,oscillation,spectral,blows up,Each Fourier mode advanced by its exact analytic (spectral) time solution.
Wave_7,"2D Wave Equation: FDTD leapfrog with spatially varying wave speed c(x,y) and a sponge-layer absorbing boundary, animated as a GIF. Initial condition: multi-point source displacement, zero initial velocity.",wave,oscillation/restoration,explicit,"blows up, creates checkerboard pattern","Explicit leapfrog update, but a sponge/absorbing layer damps amplitude near the boundaries -> restoration in addition to oscillation."
Wave_8,"2D Wave Equation: implicit Newmark-beta scheme (average-acceleration form), unconditionally stable, animated as a GIF using a single LU factorization. Initial condition: sinusoidal displacement plus a localized initial velocity pulse.",wave,oscillation,implicit,explodes to NaNs,"NEEDS REVIEW: Newmark-beta solves a linear system via LU each step (implicit). gamma=0.6 (>0.5) adds mild numerical damping of grid-scale noise -- this is a numerical stabilization choice, not a modeled physical restoring force, so tagged as pure oscillation; flag if you'd rather call this oscillation/restoration."
